[10:45:57 122]:   Thread start. id=5276
[10:46:05 459]:   IRDeviceSearch:  address_str=[index:f81d78702e26  ip:192.168.125.104 ip_netmask:255.255.255.0 ip_gateway:192.168.125.1 ip_dnsip:192.168.125.1]
[10:46:05 459]:   address.index=f81d78702e26
[10:46:13 644]:   Base64Name=YWRtaW46OTk5OQ==
[10:46:14 596]:   Recv armversion is "HTTP/1.1 405 Method Not Allowed
Server: gSOAP/2.8
Content-Type: text/xml; charset=utf-8
Content-Length: 1363
Connection: close

<?xml version="1.0" encoding="UTF-8"?>
<SOAP-ENV:Fault xmlns:SOAP-ENV="http://www.w3.org/2003/05/soap-envelope" xmlns:SOAP-ENC="http://www.w3.org/2003/05/soap-encoding" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:wsa="http://schemas.xmlsoap.org/ws/2004/08/addressing" xmlns:wsdd="http://schemas.xmlsoap.org/ws/2005/04/discovery" xmlns:chan="http://schemas.microsoft.com/ws/2005/02/duplex" xmlns:wsa5="http://www.w3.org/2005/08/addressing" xmlns:xmime="http://tempuri.org/xmime.xsd" xmlns:xop="http://www.w3.org/2004/08/xop/include" xmlns:wsrfbf="http://docs.oasis-open.org/wsrf/bf-2" xmlns:tt="http://www.onvif.org/ver10/schema" xmlns:wstop="http://docs.oasis-open.org/wsn/t-1" xmlns:wsrfr="http://docs.oasis-open.org/wsrf/r-2" xmlns:tan="http://www.onvif.org/ver20/analytics/wsdl" xmlns:tdn="http://www.onvif.org/ver10/network/wsdl" xmlns:tds="http://www.onvif.org/ver10/device/wsdl" xmlns:tev="http://www.onvif.org/ver10/events/wsdl" xmlns:wsnt="http://docs.oasis-open.org/wsn/b-2" xmlns:timg="http://www.onvif.org/ver20/imaging/wsdl" xmlns:tmd="http://www.onvif.org/ver10/deviceIO/wsdl" xmlns:tptz="http://www.onvif.org/ver20/ptz/wsdl" xmlns:trt="http://www.onvif.org/ver10/media/wsdl"><faultcode>SOAP-ENV:Client</faultcode><faultstring>HTTP GET method not implemented</faultstring></SOAP-ENV:Fault>"
[10:46:14 598]:  ERROR! Has not find softwareversion when req arm version
[10:46:14 649]:   Now try GetArmVersionHS
[10:46:14 649]:   Base64Name=YWRtaW46OTk5OQ==
[10:46:14 774]:   Recv armversion is "ZU02A V2.19"
[10:46:14 825]:   cArmVersion=zu02a
[10:46:14 825]:   GD_MTC_SDK_Login
[10:46:14 825]:   Into msgToThisServiceCoreAndWaitForResult
[10:46:14 825]:   msg to ServiceCore msgId=0, pMsg=0
[10:46:14 825]:   msg to ServiceCore msgId=0, pMsg=0. Done
[10:46:14 826]:   Create Device: NET384x288NOCLIPHS
[10:46:14 828]:   Thread start. id=12668
[10:46:14 846]:   Thread start. id=2000
[10:46:14 847]:   Thread start. id=4904
[10:46:14 853]:   GD_MTC_SDK_OpenStream
[10:46:14 853]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:14 856]:   DataPull:: recv MSG_TYPE_OPEN_STREAM msg
[10:46:14 856]:   Base64Name=YWRtaW46OTk5OQ==
[10:46:14 954]:   get_curse_info=[gear=1&measurerange=0&mintemp=-100&maxtemp=1600$gear=2&measurerange=0&mintemp=-200&maxtemp=1600$gear=3&measurerange=0&mintemp=-100&maxtemp=1800$gear=1&measurerange=1&mintemp=-100&maxtemp=3600$gear=2&measurerange=1&mintemp=-200&maxtemp=3600$gear=3&measurerange=1&mintemp=-100&maxtemp=3600$gear=1&measurerange=2&mintemp=-100&maxtemp=6600$gear=2&measurerange=2&mintemp=-200&maxtemp=6700$gear=3&measurerange=2&mintemp=-100&maxtemp=6600]
[10:46:14 955]:   After remove same range info
[10:46:14 955]:   v.nRangeIndex=0, v.fMinTemp=-10.000000, v.fMaxTemp=160.000000
[10:46:14 955]:   v.nRangeIndex=1, v.fMinTemp=-10.000000, v.fMaxTemp=360.000000
[10:46:14 955]:   v.nRangeIndex=2, v.fMinTemp=-10.000000, v.fMaxTemp=660.000000
[10:46:14 956]:   Update m_pDataCfg->strVskGearDesc, [old=-20¡æ~150¡æ&-20¡æ~350¡æ&100¡æ~650¡æ, new=-10¡æ~160¡æ&-10¡æ~360¡æ&-10¡æ~660¡æ]
[10:46:14 960]:   H264Pull::openStream
[10:46:14 960]:   avcodec_register_all
[10:46:14 990]:   av_register_all
[10:46:14 997]:   avformat_network_init
[10:46:15 000]:   avformat_alloc_context
[10:46:15 001]:   set interruptCb in H264Puller
[10:46:15 001]:   avformat_open_input
[10:46:15 006]:   Recv calc parm: [recvDistance=30&recvEmiss=98&recvHumidity=79&recvBackTemp=30&recvBackFlag=0&recvDis_a0=-32242&recvDis_a1=7597&recvDis_b0=828&recvDis_b1=9755&recvDis_c0=-2170&recvDis_c1=677&recvKF=97&&recvB0=200&recvK1=0&recvK2=20000&recvK3=0&recvK4=0&recvB2=0&CorrectionTemp=0&recvK5=-9150&recvK6=-1974&recvB3=2300]
[10:46:15 006]:   info->recvEmiss=98
[10:46:15 006]:   info->recvDistance=30
[10:46:15 043]:   avformat_find_stream_info
[10:46:15 043]:   After open h264 stream
[10:46:15 043]:   H264Pull::startRecvStream
[10:46:15 043]:   H264Puller start recv data.
[10:46:15 044]:   m_DownloadCmdRtnEvent.setEvent(); at MSG_TYPE_OPEN_STREAM
[10:46:15 044]:   wait msg result in time. [nMsgType=1003]
[10:46:15 044]:   After DataCore::msgToDataCoreAndWaitForResult
[10:46:15 044]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:15 059]:   Send change palette
[10:46:15 060]:   m_DownloadCmdRtnEvent.setEvent(); at MSG_TYPE_SET_PALETTE
[10:46:15 060]:   wait msg result in time. [nMsgType=1021]
[10:46:15 060]:   After DataCore::msgToDataCoreAndWaitForResult
[10:46:15 060]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:15 062]:   wait msg result in time. [nMsgType=1026]
[10:46:15 062]:   After DataCore::msgToDataCoreAndWaitForResult
[10:46:15 062]:  WARNING! Function not support nMsgType=1026, nPullDataType=0
[10:46:15 062]:   Send msg OK.[nMsgType=1048, nMsgId=25] in ServiceCore::msgToDataCoreAndWaitForResultSessionId
[10:46:15 062]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:15 068]:   m_DownloadCmdRtnEvent.setEvent(); at nType=1048
[10:46:15 068]:   wait msg result in time. [nMsgType=1048]
[10:46:15 068]:   After DataCore::msgToDataCoreAndWaitForResult
[10:46:15 068]:   GD_MTC_SDK_GetDeviceInfo
[10:46:15 068]:   GD_MTC_SDK_GetArmVersion
[10:46:15 069]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:16 108]:   Recv armversion is "ZU02A V2.19"
[10:46:16 160]:   m_DownloadCmdRtnEvent.setEvent(); at nType=1031
[10:46:16 160]:   wait msg result in time. [nMsgType=1031]
[10:46:16 160]:   After DataCore::msgToDataCoreAndWaitForResult
[10:46:16 160]:   GD_MTC_SDK_GetArmVersion return
[10:46:16 160]:   Before DataCore::msgToDataCoreAndWaitForResult
[10:46:16 164]:   reqOneFrameIfNeededAndBufferMsg in DataDeal::onMsg MSG_TYPE_DEVICE_INFO
[10:46:16 164]:   Req One frame to Y16Puller
[10:46:16 221]:   pCurvesStruct->curve_count=9, pCurvesStruct->curve_length=32768
[10:46:16 236]:   curve[index, range, gear, len]=[0, 0, 1, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[1, 0, 2, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[2, 0, 3, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[3, 1, 1, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[4, 1, 2, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[5, 1, 3, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[6, 2, 1, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[7, 2, 2, 0]
[10:46:16 236]:   curve[index, range, gear, len]=[8, 2, 3, 0]
[10:46:16 237]:  ERROR! Curve[5], element[5861] format error

[10:46:16 237]:  ERROR! Curve[8], element[4814] format error

[10:46:16 237]:   ProcessOneFrameData
[10:46:16 237]:   isValidY16Header confirmed
[10:46:16 282]:   Recv calc parm: [recvDistance=30&recvEmiss=98&recvHumidity=79&recvBackTemp=30&recvBackFlag=0&recvDis_a0=-32242&recvDis_a1=7597&recvDis_b0=828&recvDis_b1=9755&recvDis_c0=-2170&recvDis_c1=677&recvKF=97&&recvB0=200&recvK1=0&recvK2=20000&recvK3=0&recvK4=0&recvB2=0&CorrectionTemp=0&recvK5=-9150&recvK6=-1974&recvB3=2300]
[10:46:16 282]:   info->recvEmiss=98
[10:46:16 282]:   info->recvDistance=30
[10:46:16 333]:   Use HsCurve[1], range=0, gear=2
[10:46:16 336]:   deviceInfo.DevType = 11 in DataDeal
