[20:32:28 083]:   Thread start. id=15068
[20:33:06 613]:   IRDeviceSearch:  address_str=[index:f81d78702e26  ip:192.168.125.104 ip_netmask:255.255.255.0 ip_gateway:192.168.125.1 ip_dnsip:192.168.125.1]
[20:33:06 613]:   address.index=f81d78702e26
[20:33:17 334]:   Base64Name=YWRtaW46OTk5OQ==
[20:33:18 285]:   Recv armversion is "HTTP/1.1 405 Method Not Allowed
Server: gSOAP/2.8
Content-Type: text/xml; charset=utf-8
Content-Length: 1363
Connection: close

<?xml version="1.0" encoding="UTF-8"?>
<SOAP-ENV:Fault xmlns:SOAP-ENV="http://www.w3.org/2003/05/soap-envelope" xmlns:SOAP-ENC="http://www.w3.org/2003/05/soap-encoding" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:wsa="http://schemas.xmlsoap.org/ws/2004/08/addressing" xmlns:wsdd="http://schemas.xmlsoap.org/ws/2005/04/discovery" xmlns:chan="http://schemas.microsoft.com/ws/2005/02/duplex" xmlns:wsa5="http://www.w3.org/2005/08/addressing" xmlns:xmime="http://tempuri.org/xmime.xsd" xmlns:xop="http://www.w3.org/2004/08/xop/include" xmlns:wsrfbf="http://docs.oasis-open.org/wsrf/bf-2" xmlns:tt="http://www.onvif.org/ver10/schema" xmlns:wstop="http://docs.oasis-open.org/wsn/t-1" xmlns:wsrfr="http://docs.oasis-open.org/wsrf/r-2" xmlns:tan="http://www.onvif.org/ver20/analytics/wsdl" xmlns:tdn="http://www.onvif.org/ver10/network/wsdl" xmlns:tds="http://www.onvif.org/ver10/device/wsdl" xmlns:tev="http://www.onvif.org/ver10/events/wsdl" xmlns:wsnt="http://docs.oasis-open.org/wsn/b-2" xmlns:timg="http://www.onvif.org/ver20/imaging/wsdl" xmlns:tmd="http://www.onvif.org/ver10/deviceIO/wsdl" xmlns:tptz="http://www.onvif.org/ver20/ptz/wsdl" xmlns:trt="http://www.onvif.org/ver10/media/wsdl"><faultcode>SOAP-ENV:Client</faultcode><faultstring>HTTP GET method not implemented</faultstring></SOAP-ENV:Fault>"
[20:33:18 287]:  ERROR! Has not find softwareversion when req arm version
[20:33:18 338]:   Now try GetArmVersionHS
[20:33:18 338]:   Base64Name=YWRtaW46OTk5OQ==
[20:33:18 464]:   Recv armversion is "ZU02A V2.19"
[20:33:18 515]:   cArmVersion=zu02a
[20:33:18 515]:   GD_MTC_SDK_Login
[20:33:18 515]:   Into msgToThisServiceCoreAndWaitForResult
[20:33:18 515]:   msg to ServiceCore msgId=0, pMsg=0
[20:33:18 516]:   msg to ServiceCore msgId=0, pMsg=0. Done
[20:33:18 516]:   Create Device: NET384x288NOCLIPHS
